Borough,Year,Births rate,Deaths rate,Active enterprises
City of London,2005,10.90,8.35,"11,970.00"
Barking and Dagenham,2005,15.67,12.38,"3,190.00"
Barnet,2005,12.70,14.01,"19,095.00"
Bexley,2005,13.72,11.51,"6,560.00"
Brent,2005,15.47,13.33,"11,250.00"
Bromley,2005,12.76,11.10,"11,755.00"
Camden,2005,11.33,10.45,"22,675.00"
Croydon,2005,13.70,11.99,"11,130.00"
Ealing,2005,14.60,12.70,"12,915.00"
Enfield,2005,14.60,12.00,"9,455.00"
Greenwich,2005,17.08,12.30,"5,855.00"
Hackney,2005,14.56,11.94,"9,340.00"
Hammersmith and Fulham,2005,16.08,13.68,"10,855.00"
Haringey,2005,15.29,13.33,"8,405.00"
Harrow,2005,13.40,12.03,"9,890.00"
Havering,2005,11.89,10.82,"7,530.00"
Hillingdon,2005,12.13,11.64,"9,110.00"
Hounslow,2005,15.07,11.09,"8,795.00"
Islington,2005,14.75,11.55,"12,815.00"
Kensington and Chelsea,2005,12.77,11.32,"11,665.00"
Kingston upon Thames,2005,12.99,11.49,"6,660.00"
Lambeth,2005,16.27,12.72,"9,710.00"
Lewisham,2005,16.64,12.05,"6,430.00"
Merton,2005,15.37,13.13,"7,805.00"
Newham,2005,37.39,15.05,"5,215.00"
Redbridge,2005,15.17,13.75,"8,075.00"
Richmond upon Thames,2005,12.29,10.74,"10,940.00"
Southwark,2005,15.88,12.00,"11,080.00"
Sutton,2005,12.26,11.26,"6,485.00"
Tower Hamlets,2005,17.37,12.99,"9,815.00"
Waltham Forest,2005,16.20,14.67,"6,850.00"
Wandsworth,2005,16.43,13.74,"13,570.00"
Westminster,2005,12.36,12.72,"42,875.00"
City of London,2006,10.01,7.68,"12,240.00"
Barking and Dagenham,2006,14.79,10.52,"3,280.00"
Barnet,2006,11.58,12.47,"18,565.00"
Bexley,2006,13.34,10.88,"6,710.00"
Brent,2006,13.81,11.74,"11,330.00"
Bromley,2006,12.67,10.08,"11,960.00"
Camden,2006,10.92,9.36,"22,750.00"
Croydon,2006,13.88,11.11,"11,385.00"
Ealing,2006,13.59,11.06,"13,060.00"
Enfield,2006,14.26,11.73,"9,715.00"
Greenwich,2006,15.47,11.44,"6,075.00"
Hackney,2006,13.88,9.86,"9,580.00"
Hammersmith and Fulham,2006,13.51,12.45,"10,880.00"
Haringey,2006,13.42,11.88,"8,420.00"
Harrow,2006,12.11,10.85,"9,910.00"
Havering,2006,11.64,10.91,"7,605.00"
Hillingdon,2006,12.62,10.02,"9,230.00"
Hounslow,2006,13.04,10.54,"9,010.00"
Islington,2006,12.97,10.12,"12,645.00"
Kensington and Chelsea,2006,12.25,8.86,"11,800.00"
Kingston upon Thames,2006,12.61,9.72,"6,740.00"
Lambeth,2006,15.19,11.24,"10,005.00"
Lewisham,2006,15.85,12.35,"6,720.00"
Merton,2006,15.56,12.48,"7,970.00"
Newham,2006,16.85,11.70,"5,340.00"
Redbridge,2006,15.83,12.21,"8,275.00"
Richmond upon Thames,2006,11.57,9.00,"11,060.00"
Southwark,2006,15.39,10.79,"11,535.00"
Sutton,2006,12.36,10.07,"6,555.00"
Tower Hamlets,2006,15.66,11.71,"10,120.00"
Waltham Forest,2006,16.50,12.93,"7,000.00"
Wandsworth,2006,14.56,12.04,"13,705.00"
Westminster,2006,11.69,9.68,"42,455.00"
City of London,2007,10.34,13.52,"12,615.00"
Barking and Dagenham,2007,14.76,10.42,"3,455.00"
Barnet,2007,12.42,14.28,"18,555.00"
Bexley,2007,12.73,10.17,"6,835.00"
Brent,2007,14.89,11.57,"11,750.00"
Bromley,2007,14.08,9.65,"12,430.00"
Camden,2007,11.76,11.38,"23,335.00"
Croydon,2007,13.62,11.57,"11,715.00"
Ealing,2007,14.92,10.70,"13,640.00"
Enfield,2007,13.03,12.32,"9,860.00"
Greenwich,2007,15.62,10.75,"6,370.00"
Hackney,2007,14.96,10.88,"10,160.00"
Hammersmith and Fulham,2007,15.75,12.09,"11,335.00"
Haringey,2007,14.61,12.54,"8,690.00"
Harrow,2007,12.92,11.29,"10,140.00"
Havering,2007,12.76,10.18,"7,760.00"
Hillingdon,2007,12.81,10.39,"9,525.00"
Hounslow,2007,14.44,10.30,"9,420.00"
Islington,2007,13.70,11.04,"13,140.00"
Kensington and Chelsea,2007,12.86,10.02,"12,325.00"
Kingston upon Thames,2007,14.39,11.09,"7,125.00"
Lambeth,2007,17.82,10.85,"10,830.00"
Lewisham,2007,17.28,11.24,"7,120.00"
Merton,2007,16.00,11.19,"8,310.00"
Newham,2007,16.68,12.33,"5,635.00"
Redbridge,2007,15.67,14.63,"8,615.00"
Richmond upon Thames,2007,13.41,9.67,"11,630.00"
Southwark,2007,15.98,10.84,"12,265.00"
Sutton,2007,12.85,9.75,"6,770.00"
Tower Hamlets,2007,15.89,11.86,"10,670.00"
Waltham Forest,2007,14.33,12.64,"7,120.00"
Wandsworth,2007,17.45,10.88,"14,615.00"
Westminster,2007,12.91,12.43,"43,975.00"
City of London,2008,14.53,7.93,"13,800.00"
Barking and Dagenham,2008,19.25,11.23,"3,740.00"
Barnet,2008,13.48,12.11,"19,360.00"
Bexley,2008,11.49,10.69,"6,920.00"
Brent,2008,15.92,11.02,"12,245.00"
Bromley,2008,12.04,9.66,"12,790.00"
Camden,2008,12.45,9.05,"24,375.00"
Croydon,2008,13.20,10.44,"11,930.00"
Ealing,2008,15.52,10.80,"13,885.00"
Enfield,2008,13.98,10.94,"10,195.00"
Greenwich,2008,15.91,11.26,"6,570.00"
Hackney,2008,16.16,9.15,"10,765.00"
Hammersmith and Fulham,2008,16.68,11.45,"11,750.00"
Haringey,2008,15.70,10.52,"9,075.00"
Harrow,2008,13.58,11.83,"10,570.00"
Havering,2008,13.67,10.03,"7,975.00"
Hillingdon,2008,14.14,10.14,"9,865.00"
Hounslow,2008,15.45,9.82,"9,775.00"
Islington,2008,14.32,9.56,"13,550.00"
Kensington and Chelsea,2008,13.29,9.21,"12,375.00"
Kingston upon Thames,2008,13.84,10.13,"7,405.00"
Lambeth,2008,16.41,10.70,"11,305.00"
Lewisham,2008,17.27,10.04,"7,470.00"
Merton,2008,15.80,10.96,"8,670.00"
Newham,2008,19.88,12.30,"5,935.00"
Redbridge,2008,15.83,12.88,"8,970.00"
Richmond upon Thames,2008,12.96,9.63,"12,040.00"
Southwark,2008,15.76,10.24,"12,845.00"
Sutton,2008,11.30,10.35,"6,905.00"
Tower Hamlets,2008,17.80,10.97,"11,490.00"
Waltham Forest,2008,15.25,12.95,"7,180.00"
Wandsworth,2008,16.87,10.67,"15,230.00"
Westminster,2008,14.67,9.63,"45,965.00"
City of London,2009,12.02,9.16,"14,895.00"
Barking and Dagenham,2009,15.79,14.76,"3,895.00"
Barnet,2009,12.10,14.96,"19,920.00"
Bexley,2009,10.43,12.68,"6,900.00"
Brent,2009,13.51,14.43,"12,475.00"
