Borough,Year,Murder,Wounding/GBH,Assault With Injury,Common Assault,Offensive Weapon,Harassment,Other Violence,Violence Against The Person,Rape,Other Sexual,Sexual Offences,Personal Property,Business Property,Robbery,Burglary in A Dwelling,Burglary in Other Buildings,Burglary,Theft/Taking Of Motor Vehicle,Theft From Motor Vehicle,Motor Vehicle Interference and Tampering,Theft From Shops,Theft Person,Theft/Taking Of Pedal Cycles,Other Theft,Handling Stolen Goods,Theft & Handling,Counted Per Victim,Other Fraud & Forgery,Fraud & Forgery,Criminal Damage to a Dwelling,Criminal Damage To Other Buildings,Criminal Damage To Motor Vehicle,Other Criminal Damage,Criminal Damage,Drug Trafficking,Possession Of Drugs,Other Drugs,Drugs,Going Equipped,Other Notifiable,Other Notifiable Offences,Total Notifiable Offences
Barking and Dagenham,2014,3,510,1173,1106,54,1137,217,4200,118,182,300,491,35,526,1470,536,2006,773,1588,126,720,349,240,2011,72,5879,0,30,30,458,151,692,346,1647,87,1120,6,1213,11,292,303,16104
Barnet,2014,2,511,1110,1217,84,1424,209,4557,113,243,356,634,76,710,2731,1239,3970,769,2889,232,1198,713,226,3579,64,9670,0,45,45,407,200,908,450,1965,103,1019,7,1129,24,298,322,22724
Bexley,2014,0,324,725,704,46,805,168,2772,86,161,247,219,38,257,1148,635,1783,489,1115,108,807,145,117,1425,42,4248,0,11,11,299,111,688,300,1398,91,791,4,886,8,227,235,11837
Brent,2014,6,830,1546,1657,151,1819,401,6410,141,225,366,1077,47,1124,2153,701,2854,575,1988,119,960,906,451,2722,57,7778,0,34,34,504,215,798,530,2047,149,3223,33,3405,15,443,458,24476
Bromley,2014,2,478,1221,1074,79,1392,181,4427,106,204,310,473,66,539,2046,1020,3066,555,1915,159,1630,350,168,2849,46,7672,0,13,13,500,183,834,530,2047,78,1013,7,1098,14,259,273,19445
Camden,2014,1,628,1108,1234,103,1331,233,4638,119,231,350,876,78,954,1473,1651,3124,725,1972,156,1100,3454,1124,6813,55,15399,1,44,45,340,280,590,374,1584,128,1953,19,2100,27,425,452,28646
Croydon,2014,4,839,1907,1715,173,1598,321,6557,239,316,555,1381,126,1507,2621,1185,3806,716,2694,164,1675,840,328,4018,64,10499,0,22,22,685,299,1237,616,2837,128,1874,17,2019,17,383,400,28202
Ealing,2014,8,719,1564,1591,111,1986,305,6284,138,343,481,785,64,849,2168,1139,3307,646,3017,154,1478,832,673,3545,53,10398,0,46,46,489,230,1125,456,2300,222,1555,10,1787,14,420,434,25886
Enfield,2014,5,532,1331,1130,146,1404,216,4764,162,194,356,858,60,918,2379,1075,3454,874,3204,240,907,580,195,2918,66,8984,0,39,39,508,145,921,461,2035,231,1468,11,1710,16,355,371,22631
Greenwich,2014,3,602,1455,1396,97,1585,273,5411,138,212,350,402,41,443,1406,942,2348,571,1637,138,1294,618,310,2669,42,7279,0,49,49,584,185,747,453,1969,109,1237,10,1356,11,414,425,19630
