Borough,Number of Tax Payers,Mean Tax Payer Income (£),Median Tax Payer Income (£),Year
City of London,10000,95600,44400,2005
Barking and Dagenham,77000,19400,16600,2005
Barnet,155000,32800,19900,2005
Bexley,124000,22300,17700,2005
Brent,137000,21800,16500,2005
Bromley,169000,29200,20900,2005
Camden,97000,50200,23200,2005
Croydon,175000,24300,18600,2005
Ealing,154000,26500,19100,2005
Enfield,132000,23900,17000,2005
Greenwich,108000,23100,17100,2005
Hackney,86000,22900,18000,2005
Hammersmith and Fulham,95000,38300,20800,2005
Haringey,104000,27900,18300,2005
Harrow,114000,26800,19600,2005
Havering,125000,23100,18600,2005
Hillingdon,123000,25200,20400,2005
Hounslow,118000,25500,18400,2005
Islington,92000,35400,20800,2005
Kensington and Chelsea,74000,86600,22400,2005
Kingston upon Thames,82000,30500,20400,2005
Lambeth,137000,26800,19900,2005
Lewisham,130000,23100,18100,2005
Merton,105000,31600,19400,2005
Newham,112000,18500,15100,2005
Redbridge,120000,24500,17800,2005
Richmond upon Thames,102000,41800,24500,2005
Southwark,124000,26300,17800,2005
Sutton,95000,25600,18900,2005
Tower Hamlets,90000,29600,19200,2005
Waltham Forest,111000,20800,16600,2005
Wandsworth,154000,38200,22000,2005
Westminster,105000,56500,23100,2005
City of London,10000,90600,49300,2006
Barking and Dagenham,83000,20600,17900,2006
Barnet,161000,35600,21200,2006
Bexley,121000,24000,19400,2006
Brent,135000,23200,17600,2006
Bromley,173000,31400,22400,2006
Camden,97000,56200,24200,2006
Croydon,173000,25800,19600,2006
Ealing,165000,26900,19000,2006
Enfield,132000,25800,18900,2006
Greenwich,109000,25500,18200,2006
Hackney,92000,24600,19300,2006
Hammersmith and Fulham,87000,43100,23000,2006
Haringey,117000,29500,18800,2006
Harrow,116000,29200,20700,2006
Havering,135000,25000,20200,2006
Hillingdon,126000,26300,20200,2006
Hounslow,117000,26900,18800,2006
Islington,92000,39000,22800,2006
Kensington and Chelsea,74000,109000,27300,2006
Kingston upon Thames,86000,33400,22400,2006
Lambeth,134000,28700,20700,2006
Lewisham,124000,25200,20000,2006
Merton,103000,34800,20500,2006
Newham,109000,19200,15200,2006
Redbridge,122000,26500,20000,2006
Richmond upon Thames,102000,47500,25800,2006
Southwark,133000,29500,20000,2006
Sutton,101000,26300,20200,2006
Tower Hamlets,89000,31500,19800,2006
Waltham Forest,114000,22000,17700,2006
Wandsworth,155000,44100,24500,2006
Westminster,105000,68100,27100,2006
City of London,10000,99200,49000,2007
Barking and Dagenham,77000,20600,17600,2007
Barnet,173000,36700,20400,2007
Bexley,123000,24600,19600,2007
Brent,144000,24600,18200,2007
