Borough,Total Job seekers,Job seeker Rate,Year
City of London,470,6.8,2005
Barking and Dagenham,15470,14.6,2005
Barnet,19310,8.9,2005
Bexley,10910,7.7,2005
Brent,26790,15.2,2005
Bromley,14570,7.6,2005
Camden,20730,12.7,2005
Croydon,22270,10.0,2005
Ealing,23040,10.7,2005
Enfield,24780,13.3,2005
Greenwich,21210,14.1,2005
Hackney,27980,19.5,2005
Hammersmith and Fulham,14660,11.8,2005
Haringey,30090,18.8,2005
Harrow,11530,7.9,2005
Havering,9430,6.6,2005
Hillingdon,13900,8.3,2005
Hounslow,12810,8.3,2005
Islington,22350,16.3,2005
Kensington and Chelsea,9920,8.1,2005
Kingston upon Thames,5730,5.2,2005
Lambeth,34760,17.2,2005
Lewisham,27910,15.7,2005
Merton,11590,8.6,2005
Newham,27380,16.7,2005
Redbridge,15560,9.4,2005
Richmond upon Thames,6520,5.2,2005
Southwark,32120,16.8,2005
Sutton,8180,6.7,2005
Tower Hamlets,29410,19.3,2005
Waltham Forest,23330,15.7,2005
Wandsworth,19930,9.6,2005
Westminster,14810,8.3,2005
City of London,510,6.7,2006
Barking and Dagenham,16250,15.2,2006
Barnet,20150,9.1,2006
Bexley,11540,8.1,2006
Brent,28440,16.2,2006
Bromley,14040,7.2,2006
Camden,20910,12.6,2006
Croydon,23850,10.6,2006
Ealing,24080,11.1,2006
Enfield,25510,13.6,2006
Greenwich,22380,14.8,2006
Hackney,30350,20.9,2006
Hammersmith and Fulham,14970,12.1,2006
Haringey,30860,19.2,2006
Harrow,11860,8.0,2006
Havering,10280,7.1,2006
Hillingdon,13820,8.2,2006
Hounslow,13830,8.8,2006
Islington,23640,17.1,2006
Kensington and Chelsea,10180,8.4,2006
Kingston upon Thames,5470,4.8,2006
Lambeth,34730,17.0,2006
Lewisham,28500,15.8,2006
Merton,11700,8.5,2006
Newham,30950,19.0,2006
Redbridge,17020,10.1,2006
Richmond upon Thames,6340,5.0,2006
Southwark,31130,15.7,2006
Sutton,8540,6.9,2006
Tower Hamlets,32950,21.1,2006
Waltham Forest,25410,17.1,2006
Wandsworth,19390,9.2,2006
Westminster,15740,8.5,2006
City of London,470,5.5,2007
