Borough,Total Citizens,Men,Women,Year
City of London,7131,3869,3262,2005
Barking and Dagenham,166275,80029,86246,2005
Barnet,327541,157292,170249,2005
Bexley,222391,107014,115377,2005
Brent,270939,135296,135643,2005
Bromley,299421,143632,155789,2005
Camden,211088,103131,107957,2005
Croydon,339052,164982,174070,2005
Ealing,312774,156438,156336,2005
Enfield,284779,138412,146367,2005
Greenwich,230494,112930,117564,2005
Hackney,216512,106808,109704,2005
Hammersmith and Fulham,173292,84516,88776,2005
Haringey,229271,113471,115800,2005
Harrow,221109,108823,112286,2005
Havering,226990,109337,117653,2005
Hillingdon,251430,123686,127744,2005
Hounslow,223776,111453,112323,2005
Islington,183477,89504,93973,2005
Kensington and Chelsea,168375,82404,85971,2005
Kingston upon Thames,152489,74881,77608,2005
Lambeth,277620,139985,137635,2005
Lewisham,254930,124978,129952,2005
Merton,190583,93950,96633,2005
Newham,253798,129020,124778,2005
Redbridge,251560,123735,127825,2005
Richmond upon Thames,181508,88858,92650,2005
Southwark,261811,129773,132038,2005
Sutton,182103,88703,93400,2005
Tower Hamlets,213382,109445,103937,2005
Waltham Forest,226747,112204,114543,2005
Wandsworth,283229,137486,145743,2005
Westminster,223132,111695,111437,2005
City of London,7254,3959,3295,2006
Barking and Dagenham,167157,80460,86697,2006
Barnet,330801,158837,171964,2006
Bexley,223280,107514,115766,2006
Brent,276504,138135,138369,2006
Bromley,300963,144419,156544,2006
Camden,211032,102753,108279,2006
Croydon,340449,165739,174710,2006
Ealing,315329,157563,157766,2006
Enfield,287429,139495,147934,2006
Greenwich,233990,114762,119228,2006
Hackney,220193,108807,111386,2006
Hammersmith and Fulham,174675,84971,89704,2006
Haringey,233174,115102,118072,2006
Harrow,223632,110101,113531,2006
Havering,228198,109919,118279,2006
Hillingdon,254387,125270,129117,2006
Hounslow,228126,113682,114444,2006
Islington,185283,90063,95220,2006
Kensington and Chelsea,165245,80945,84300,2006
Kingston upon Thames,153667,75390,78277,2006
Lambeth,280524,141232,139292,2006
Lewisham,257976,126362,131614,2006
Merton,192520,94834,97686,2006
Newham,257994,131352,126642,2006
Redbridge,255590,125592,129998,2006
Richmond upon Thames,182520,89242,93278,2006
Southwark,267553,132792,134761,2006
Sutton,182882,89027,93855,2006
Tower Hamlets,218400,112060,106340,2006
Waltham Forest,230731,114305,116426,2006
Wandsworth,287538,139495,148043,2006
Westminster,222829,111766,111063,2006
City of London,7607,4197,3410,2007
Barking and Dagenham,169031,81437,87594,2007
Barnet,334837,161053,173784,2007
Bexley,224625,108124,116501,2007
Brent,283273,141784,141489,2007
Bromley,302625,145102,157523,2007
Camden,211520,103008,108512,2007
Croydon,344029,167233,176796,2007
Ealing,318671,159103,159568,2007
Enfield,291534,141328,150206,2007
Greenwich,236535,116300,120235,2007
Hackney,224480,111218,113262,2007
Hammersmith and Fulham,176472,85598,90874,2007
Haringey,236793,117065,119728,2007
Harrow,226355,111546,114809,2007
Havering,229789,110678,119111,2007
Hillingdon,256981,126739,130242,2007
Hounslow,233454,116502,116952,2007
Islington,188636,91885,96751,2007
Kensington and Chelsea,162883,79920,82963,2007
Kingston upon Thames,154485,75580,78905,2007
Lambeth,284964,143379,141585,2007
Lewisham,261188,128004,133184,2007
Merton,194260,95783,98477,2007
Newham,266285,136330,129955,2007
Redbridge,259965,127886,132079,2007
Richmond upon Thames,182421,89223,93198,2007
Southwark,272626,135512,137114,2007
Sutton,184174,89582,94592,2007
Tower Hamlets,225251,115743,109508,2007
Waltham Forest,235665,116869,118796,2007
Wandsworth,291440,141392,150048,2007
Westminster,220619,110942,109677,2007
City of London,7429,4131,3298,2008
Barking and Dagenham,172452,83180,89272,2008
Barnet,339212,163598,175614,2008
Bexley,226652,108994,117658,2008
Brent,290901,145829,145072,2008
Bromley,304968,146179,158789,2008
Camden,210273,102603,107670,2008
Croydon,349308,169719,179589,2008
Ealing,324022,161688,162334,2008
Enfield,297443,143948,153495,2008
Greenwich,239748,118329,121419,2008
Hackney,231041,114642,116399,2008
Hammersmith and Fulham,177088,85821,91267,2008
Haringey,244459,120604,123855,2008
Harrow,229567,113309,116258,2008
Havering,231793,111683,120110,2008
Hillingdon,261051,128822,132229,2008
Hounslow,237907,118646,119261,2008
Islington,192089,93851,98238,2008
Kensington and Chelsea,162579,79995,82584,2008
Kingston upon Thames,156027,76366,79661,2008
Lambeth,289126,145305,143821,2008
Lewisham,266508,130335,136173,2008
Merton,195859,96808,99051,2008
Newham,276478,141834,134644,2008
Redbridge,265452,130756,134696,2008
Richmond upon Thames,182927,89560,93367,2008
Southwark,276973,137725,139248,2008
Sutton,185860,90363,95497,2008
Tower Hamlets,231893,119286,112607,2008
Waltham Forest,242098,120393,121705,2008
Wandsworth,294305,142927,151378,2008
Westminster,218673,110388,108285,2008
City of London,7472,4159,3313,2009
Barking and Dagenham,177580,85686,91894,2009
Barnet,345829,166919,178910,2009
Bexley,228146,109764,118382,2009
Brent,298118,149484,148634,2009
Bromley,306924,147174,159750,2009
Camden,212924,104084,108840,2009
Croydon,352763,171374,181389,2009
Ealing,329966,164878,165088,2009
Enfield,301971,145987,155984,2009
Greenwich,243672,120436,123236,2009
Hackney,236622,117198,119424,2009
Hammersmith and Fulham,180116,87857,92259,2009
Haringey,249805,123538,126267,2009
Harrow,233495,115117,118378,2009
Havering,234127,112758,121369,2009
Hillingdon,265665,131057,134608,2009
Hounslow,243366,121578,121788,2009
Islington,196704,96401,100303,2009
Kensington and Chelsea,161893,79688,82205,2009
Kingston upon Thames,157307,76982,80325,2009
Lambeth,294050,147186,146864,2009
Lewisham,270418,132128,138290,2009
Merton,198136,97810,100326,2009
Newham,286447,147402,139045,2009
Redbridge,270435,133344,137091,2009
Richmond upon Thames,184394,90013,94381,2009
Southwark,281120,139236,141884,2009
Sutton,188167,91396,96771,2009
Tower Hamlets,240495,123681,116814,2009
Waltham Forest,248140,123437,124703,2009
Wandsworth,299347,145401,153946,2009
Westminster,216980,109686,107294,2009
City of London,7338,4066,3272,2010
Barking and Dagenham,182838,88520,94318,2010
Barnet,351438,169952,181486,2010
Bexley,230711,111030,119681,2010
Brent,304785,153165,151620,2010
Bromley,308560,148075,160485,2010
Camden,214725,105007,109718,2010
Croydon,357951,173842,184109,2010
Ealing,334073,167125,166948,2010
Enfield,307648,148635,159013,2010
Greenwich,249171,123345,125826,2010
Hackney,241739,119799,121940,2010
Hammersmith and Fulham,180842,88251,92591,2010
Haringey,252742,125056,127686,2010
Harrow,237451,117176,120275,2010
Havering,236234,113774,122460,2010
Hillingdon,269465,133294,136171,2010
Hounslow,249236,124862,124374,2010
Islington,200129,98302,101827,2010
Kensington and Chelsea,160463,79017,81446,2010
Kingston upon Thames,158648,77526,81122,2010
Lambeth,297650,148645,149005,2010
Lewisham,272525,133396,139129,2010
Merton,199136,98249,100887,2010
Newham,299171,155046,144125,2010
Redbridge,275088,135814,139274,2010
Richmond upon Thames,186304,90903,95401,2010
Southwark,283777,140520,143257,2010
Sutton,189321,92114,97207,2010
Tower Hamlets,248520,127921,120599,2010
Waltham Forest,254009,126653,127356,2010
Wandsworth,302620,146688,155932,2010
Westminster,217187,110171,107016,2010
City of London,7412,4133,3279,2011
Barking and Dagenham,187029,90873,96156,2011
Barnet,357538,173444,184094,2011
Bexley,232774,112095,120679,2011
Brent,312245,157252,154993,2011
Bromley,310554,149155,161399,2011
Camden,220087,108088,111999,2011
Croydon,364815,176882,187933,2011
Ealing,339314,169844,169470,2011
Enfield,313935,151525,162410,2011
Greenwich,255483,126895,128588,2011
Hackney,247182,122594,124588,2011
Hammersmith and Fulham,182445,89096,93349,2011
Haringey,255540,126811,128729,2011
Harrow,240499,118877,121622,2011
Havering,237927,114530,123397,2011
Hillingdon,275499,136791,138708,2011
Hounslow,254927,128128,126799,2011
Islington,206285,101810,104475,2011
Kensington and Chelsea,158251,78088,80163,2011
Kingston upon Thames,160436,78369,82067,2011
Lambeth,304481,151822,152659,2011
Lewisham,276938,135638,141300,2011
Merton,200543,99022,101521,2011
Newham,310460,162045,148415,2011
Redbridge,281395,139518,141877,2011
Richmond upon Thames,187527,91415,96112,2011
Southwark,288717,143032,145685,2011
Sutton,191123,92900,98223,2011
Tower Hamlets,256012,132139,123873,2011
Waltham Forest,259742,129975,129767,2011
Wandsworth,307710,149161,158549,2011
Westminster,219582,112015,107567,2011
City of London,7604,4182,3422,2012
Barking and Dagenham,190560,92771,97789,2012
Barnet,363956,177153,186803,2012
Bexley,234271,112587,121684,2012
Brent,314660,158612,156048,2012
Bromley,314036,150834,163202,2012
Camden,224962,110576,114386,2012
Croydon,368886,178780,190106,2012
Ealing,340671,170551,170120,2012
Enfield,317287,153633,163654,2012
Greenwich,260068,129594,130474,2012
Hackney,252119,125117,127002,2012
Hammersmith and Fulham,179850,87578,92272,2012
Haringey,258912,129091,129821,2012
Harrow,242377,119928,122449,2012
Havering,239733,115321,124412,2012
Hillingdon,281756,140115,141641,2012
Hounslow,259052,130590,128462,2012
Islington,211047,104420,106627,2012
Kensington and Chelsea,155930,76714,79216,2012
Kingston upon Thames,163906,80110,83796,2012
Lambeth,310200,154780,155420,2012
Lewisham,281556,137924,143632,2012
Merton,202225,99637,102588,2012
Newham,314084,163597,150487,2012
Redbridge,284617,140823,143794,2012
Richmond upon Thames,189145,91965,97180,2012
Southwark,293530,145448,148082,2012
Sutton,193630,94114,99516,2012
Tower Hamlets,263003,135456,127547,2012
Waltham Forest,262566,131243,131323,2012
Wandsworth,308312,148480,159832,2012
Westminster,223858,113847,110011,2012
City of London,7648,4229,3419,2013
Barking and Dagenham,194352,94940,99412,2013
Barnet,369088,180479,188609,2013
Bexley,236687,113896,122791,2013
Brent,317264,160227,157037,2013
Bromley,317899,152649,165250,2013
Camden,229719,113779,115940,2013
Croydon,372752,180777,191975,2013
Ealing,342494,171587,170907,2013
Enfield,320524,155746,164778,2013
Greenwich,264008,131778,132230,2013
Hackney,257379,127536,129843,2013
Hammersmith and Fulham,178685,87310,91375,2013
Haringey,263386,131870,131516,2013
Harrow,243373,120706,122667,2013
Havering,242080,116232,125848,2013
Hillingdon,286808,142858,143950,2013
