Borough,Unemployment Level,Unemployment Rate,Year
Barking and Dagenham,6600,9.1,2005
Barnet,11500,7.0,2005
Bexley,5700,5.0,2005
Brent,10500,7.9,2005
Bromley,7600,4.7,2005
Camden,8500,7.7,2005
Croydon,12400,7.0,2005
Ealing,12100,7.7,2005
Enfield,12000,8.8,2005
Greenwich,10300,8.8,2005
Hackney,9500,10.6,2005
Hammersmith and Fulham,6800,6.9,2005
Haringey,9600,8.2,2005
Harrow,7000,6.2,2005
Havering,5400,4.8,2005
Hillingdon,8100,6.5,2005
Hounslow,7800,6.4,2005
Islington,7900,8.5,2005
Kensington and Chelsea,5200,5.9,2005
Kingston upon Thames,4100,5.0,2005
Lambeth,12300,8.6,2005
Lewisham,10000,7.4,2005
Merton,6900,6.8,2005
Newham,10000,9.3,2005
Redbridge,8500,7.3,2005
Richmond upon Thames,4100,4.1,2005
Southwark,11200,8.5,2005
Sutton,4800,4.7,2005
Tower Hamlets,11600,11.8,2005
Waltham Forest,10200,9.1,2005
Wandsworth,9800,6.0,2005
Westminster,8300,7.2,2005
Barking and Dagenham,6900,9.5,2006
Barnet,11300,6.8,2006
Bexley,6300,5.5,2006
Brent,12200,9.1,2006
Bromley,8000,5.1,2006
Camden,9200,8.3,2006
Croydon,11900,6.6,2006
Ealing,12100,7.3,2006
Enfield,9600,6.7,2006
Greenwich,9500,8.0,2006
Hackney,11800,11.6,2006
Hammersmith and Fulham,7800,7.9,2006
Haringey,11500,9.3,2006
Harrow,7900,6.7,2006
Havering,5500,4.8,2006
Hillingdon,8700,6.8,2006
Hounslow,9400,7.6,2006
Islington,8800,8.9,2006
Kensington and Chelsea,5800,6.9,2006
Kingston upon Thames,3900,4.7,2006
Lambeth,13100,9.1,2006
Lewisham,11400,8.3,2006
Merton,6800,6.5,2006
Newham,13500,11.7,2006
Redbridge,8800,7.2,2006
Richmond upon Thames,4100,4.1,2006
Southwark,13200,9.5,2006
Sutton,5100,5.1,2006
Tower Hamlets,13400,14.0,2006
Waltham Forest,9700,8.4,2006
Wandsworth,11900,7.2,2006
Westminster,9600,8.2,2006
Barking and Dagenham,6100,7.8,2007
Barnet,8800,5.2,2007
Bexley,5000,4.4,2007
Brent,12900,8.7,2007
Bromley,7100,4.4,2007
Camden,7800,6.9,2007
Croydon,10800,6.0,2007
Ealing,10300,6.4,2007
Enfield,9100,6.7,2007
Greenwich,8700,7.3,2007
Hackney,12700,11.4,2007
Hammersmith and Fulham,7000,7.0,2007
Haringey,11600,9.7,2007
Harrow,5700,4.9,2007
Havering,4600,3.9,2007
Hillingdon,6900,5.8,2007
Hounslow,6700,5.5,2007
Islington,8300,7.9,2007
Kensington and Chelsea,4900,5.7,2007
Kingston upon Thames,3300,4.1,2007
Lambeth,15500,9.9,2007
Lewisham,13100,9.7,2007
Merton,5200,4.7,2007
Newham,13500,11.4,2007
Redbridge,7500,6.1,2007
Richmond upon Thames,3600,3.5,2007
Southwark,13700,9.4,2007
Sutton,4500,4.7,2007
Tower Hamlets,12000,11.7,2007
Waltham Forest,8900,7.6,2007
Wandsworth,9300,5.5,2007
Westminster,7700,6.6,2007
Barking and Dagenham,6700,8.6,2008
Barnet,10600,6.4,2008
Bexley,6400,5.6,2008
Brent,11400,7.3,2008
Bromley,7400,4.5,2008
Camden,7900,7.0,2008
Croydon,11700,6.1,2008
Ealing,11600,6.9,2008
Enfield,11800,8.3,2008
Greenwich,9200,7.9,2008
