Borough,Murder,Wounding/GBH,Assault With Injury,Common Assault,Offensive Weapon,Harassment,Other Violence,Total,Rape,Other Sexual,Total,Personal Property,Business Property,Total,Burglary in A Dwelling,Burglary in Other Buildings,Total,Theft/Taking Of Motor Vehicle,Theft From Motor Vehicle,Motor Vehicle Interference & Tampering,Theft From Shops,Theft Person,Theft/Taking Of Pedal Cycles,Other Theft,Handling Stolen Goods,Total,Counted Per Victim,Other Fraud & Forgery,Total,Criminal Damage to a Dwelling,Criminal Damage To Other Buildings,Criminal Damage To Motor Vehicle,Other Criminal Damage,Total,Drug Trafficking,Possession Of Drugs,Other Drugs,Total,Going Equipped,Other Notifiable,Total,Total Notifiable Offences
Barking and Dagenham,3,738,1386,1641,94,1858,375,6095,173,239,412,533,54,587,1046,488,1534,769,981,212,868,319,227,1935,36,5347,0,24,24,443,154,894,461,1952,56,1111,2,1169,8,342,350,17470
Barnet,3,675,1503,1891,92,2712,288,7164,170,312,482,557,65,622,2690,1188,3878,701,2371,555,1227,622,292,3428,49,9245,0,54,54,421,248,1013,574,2256,79,760,4,843,17,412,429,24973
Bexley,5,405,919,1089,65,1442,210,4135,103,197,300,153,17,170,713,383,1096,569,895,266,789,158,106,1431,24,4238,0,10,10,286,125,781,418,1610,104,588,7,699,11,371,382,12640
Brent,9,965,1902,2722,176,2568,433,8775,191,335,526,906,62,968,2007,710,2717,811,1845,460,1376,680,444,3004,37,8657,0,38,38,419,228,876,620,2143,115,1723,18,1856,32,404,436,26116
Bromley,0,632,1389,1710,97,2633,212,6673,125,289,414,315,47,362,1601,955,2556,759,1412,352,1803,298,171,2752,26,7573,0,32,32,497,216,902,644,2259,56,796,4,856,15,392,407,21132
Camden,2,859,1488,2255,112,2536,256,7508,192,421,613,938,75,1013,1483,1327,2810,764,1550,360,1504,2929,1087,6005,57,14256,0,31,31,385,345,692,524,1946,88,1429,13,1530,14,449,463,30170
Croydon,3,1069,2326,2869,174,3240,402,10083,300,443,743,636,82,718,1709,921,2630,901,2010,404,1871,527,232,3475,42,9462,0,46,46,709,312,1243,850,3114,103,1343,9,1455,15,677,692,28943
Ealing,4,1021,1872,2788,142,2990,426,9243,192,368,560,618,51,669,1792,681,2473,709,2217,432,1712,596,522,3301,55,9544,0,53,53,490,254,1159,599,2502,126,1281,16,1423,18,542,560,27027
Enfield,6,649,1676,1891,151,2315,306,6994,193,320,513,835,72,907,2077,671,2748,632,2124,386,1045,476,295,2828,60,7846,0,33,33,413,172,911,614,2110,167,1159,6,1332,21,426,447,22930
Greenwich,6,826,1814,2229,128,2782,328,8113,184,348,532,413,65,478,1111,725,1836,785,1189,272,1368,525,294,2625,42,7100,0,47,47,607,202,976,600,2385,113,796,10,919,11,521,532,21942
Hackney,4,942,1727,2433,208,2782,376,8472,218,431,649,925,74,999,1429,1149,2578,553,1591,285,824,2231,1289,3738,55,10566,0,28,28,464,252,746,569,2031,152,1235,6,1393,20,453,473,27189
Hammersmith and Fulham,0,616,1176,1581,124,2240,203,5940,138,266,404,317,31,348,1045,548,1593,721,1748,347,1598,760,688,2951,58,8871,0,20,20,305,148,524,432,1409,83,1370,20,1473,48,398,446,20504
